folder_path;label
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\0.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\1.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\3.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\4.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\8.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\9.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\10.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\11.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\13.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\14.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\15.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\17.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\18.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\19.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\20.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\21.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\22.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\23.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\24.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\26.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\29.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\31.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\32.jpg;1
c:\Users\79093\Desktop\Application progra\neural_network\data_set_for_lerning\train\CatIT\33.jpg;1
